rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,yellow_cards,red_cards,second_yellow,fouls,fouled,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_win_pct,shot_creating_actions_foul_drawn,passes_offsides,passes_crosses,own_goals_against,season,table_type,processed_at
315,Aurélio Buta,POR,DF,Eint Frankfurt,Bundesliga,0.0,1997.0,1.5,1,0,0,3,0,0,0,0,6,0,0,0,1,0,3,0.0,2,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
316,Jean Butez,FRA,GK,Como,Serie A,0.0,1995.0,6.0,0,0,0,0,0,0,0,1,1,0,0,0,13,2,1,66.7,2,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
317,Sam Byram,ENG,DF,Leeds United,Premier League,0.0,1993.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
318,William Bøving,DEN,MF,Mainz 05,Bundesliga,0.0,2003.0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0.0,0,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
319,Jorge Cabello,ESP,DF,Levante,La Liga,0.0,2004.0,2.7,0,0,0,2,0,0,0,0,3,0,0,0,3,4,4,50.0,2,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
320,Pape Cabral,FRA,MF,Monaco,Ligue 1,0.0,2007.0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
321,Leandro Cabrera,URU,DF,Espanyol,La Liga,0.0,1991.0,7.0,0,0,0,4,0,0,0,5,2,1,0,0,18,19,3,86.4,4,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
322,Anthony Caci,FRA,"DF,MF",Mainz 05,Bundesliga,0.0,1997.0,3.4,1,0,0,5,0,0,0,3,3,0,0,0,16,3,2,60.0,3,1,21,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
323,Noah Cadiou,GLP,MF,Lorient,Ligue 1,0.0,1998.0,0.5,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0.0,1,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
324,Mathieu Cafaro,FRA,"FW,MF",Paris FC,Ligue 1,0.0,1997.0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,2,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
325,Moisés Caicedo,ECU,MF,Chelsea,Premier League,0.0,2001.0,7.0,1,0,0,7,0,0,0,18,14,0,0,0,38,3,5,37.5,12,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
326,Tom Cairney,SCO,MF,Fulham,Premier League,0.0,1991.0,1.3,1,0,0,3,0,0,0,0,0,0,0,0,5,2,1,66.7,5,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
327,Arturo Calabresi,ITA,DF,Pisa,Serie A,0.0,1996.0,0.6,0,0,0,1,0,0,0,0,1,0,0,0,3,1,3,25.0,0,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
328,Riccardo Calafiori,ITA,DF,Arsenal,Premier League,0.0,2002.0,5.8,3,0,0,11,0,0,0,4,7,0,0,0,24,9,8,52.9,5,1,12,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
329,Calebe,BRA,"MF,FW",Alavés,La Liga,0.0,2000.0,1.2,1,0,0,1,0,0,0,0,6,0,0,0,13,0,0,0.0,3,0,6,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
330,Fernando Calero,ESP,DF,Espanyol,La Liga,0.0,1995.0,5.0,2,0,0,2,0,0,0,5,6,0,0,0,12,7,13,35.0,2,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
331,Duje Ćaleta-Car,CRO,DF,Real Sociedad,La Liga,0.0,1996.0,6.7,3,0,0,11,0,0,0,7,2,0,0,0,26,20,12,62.5,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
332,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,0.0,1994.0,3.3,1,0,0,7,0,0,0,1,1,0,0,0,23,2,0,100.0,3,0,20,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
333,Dominic Calvert-Lewin,ENG,FW,Leeds United,Premier League,0.0,1997.0,4.0,0,0,0,8,0,0,0,1,1,0,0,0,8,14,20,41.2,6,4,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
334,Dani Calvo,ESP,DF,Oviedo,La Liga,0.0,1994.0,6.0,2,0,0,6,0,0,0,2,3,0,0,0,14,17,6,73.9,2,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
335,Adama Camara,FRA,MF,Paris FC,Ligue 1,0.0,1996.0,4.4,0,0,0,5,0,0,0,5,9,0,0,0,14,3,8,27.3,3,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
336,Amady Camara,MLI,"MF,FW",Nantes,Ligue 1,0.0,2005.0,1.3,0,0,0,2,0,0,0,1,2,0,0,0,8,1,3,25.0,0,0,8,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
337,Dawda Camara,MTN,FW,Girona,La Liga,0.0,2002.0,0.8,0,0,0,2,0,0,0,1,0,0,0,0,1,1,4,20.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
338,Lamine Camara,SEN,MF,Monaco,Ligue 1,0.0,2004.0,3.7,1,0,0,4,0,0,0,7,2,0,0,0,30,3,5,37.5,10,0,14,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
339,Mahdi Camara,FRA,"MF,DF",Rennes,Ligue 1,0.0,1998.0,3.4,1,1,0,7,0,0,0,1,4,0,0,0,9,3,3,50.0,4,1,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
340,Ousmane Camara,MLI,DF,Angers,Ligue 1,0.0,2003.0,5.7,1,0,0,4,0,0,0,6,7,0,0,0,16,10,8,55.6,1,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
341,Francesco Camarda,ITA,FW,Lecce,Serie A,0.0,2008.0,2.3,1,0,0,3,0,0,0,0,0,0,0,0,5,5,9,35.7,2,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
342,Eduardo Camavinga,FRA,MF,Real Madrid,La Liga,0.0,2002.0,0.8,0,0,0,1,0,0,0,0,2,0,0,0,4,1,1,50.0,3,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
343,Nicolò Cambiaghi,ITA,FW,Bologna,Serie A,0.0,2000.0,4.0,1,0,0,10,0,0,0,1,3,0,0,0,10,1,2,33.3,21,1,12,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
344,Andrea Cambiaso,ITA,DF,Juventus,Serie A,0.0,2000.0,3.9,0,1,0,3,0,0,0,3,3,0,0,0,21,1,0,100.0,2,0,20,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
345,Axel Camblan,FRA,"FW,MF",Brest,Ligue 1,0.0,2003.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
346,Sergio Camello,ESP,"FW,MF",Rayo Vallecano,La Liga,0.0,2001.0,1.4,2,1,0,1,0,0,0,0,1,0,0,0,8,2,2,50.0,4,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
347,Cole Campbell,USA,FW,Dortmund,Bundesliga,0.0,2006.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
348,Matteo Cancellieri,ITA,FW,Lazio,Serie A,0.0,2002.0,4.3,0,0,0,12,0,0,0,8,6,0,0,0,16,12,9,57.1,17,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
349,Fali Candé,GNB,DF,Sassuolo,Serie A,0.0,1998.0,0.6,0,0,0,1,0,0,0,1,1,0,0,0,5,3,1,75.0,1,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
350,Simone Canestrelli,ITA,DF,Pisa,Serie A,0.0,2000.0,6.0,0,0,0,3,0,0,0,3,4,0,0,0,15,12,3,80.0,2,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
351,Jaydee Canvot,FRA,"MF,DF",Toulouse,Ligue 1,0.0,2006.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,10,3,2,60.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
352,Nicolás Capaldo,ARG,"MF,DF",Hamburger SV,Bundesliga,0.0,1997.0,3.4,1,0,0,3,0,0,0,4,3,0,0,0,9,8,1,88.9,7,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
353,Pierrick Capelle,FRA,MF,Angers,Ligue 1,0.0,1987.0,0.6,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0.0,0,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
354,Elia Caprile,ITA,GK,Cagliari,Serie A,0.0,2001.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,75.0,3,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
355,Maxence Caqueret,FRA,"MF,FW",Como,Serie A,0.0,2000.0,1.5,0,0,0,1,0,0,0,1,3,0,0,0,7,0,0,0.0,2,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
356,Antonio Caracciolo,ITA,DF,Pisa,Serie A,0.0,1990.0,6.0,2,0,0,11,0,0,0,11,7,0,0,0,26,11,14,44.0,5,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
357,Valentin Carboni,ARG,"MF,FW",Genoa,Serie A,0.0,2005.0,2.4,1,0,0,6,0,0,0,2,5,0,1,0,14,2,2,50.0,4,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
358,Sergi Cardona,ESP,DF,Villarreal,La Liga,0.0,1999.0,6.8,1,0,0,8,0,0,0,10,8,0,0,0,24,4,4,50.0,3,0,29,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
359,Fábio Cardoso,POR,DF,Sevilla,La Liga,0.0,1994.0,0.8,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,50.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
360,Johnny Cardoso,USA,MF,Atlético Madrid,La Liga,0.0,2001.0,2.0,2,0,0,5,0,0,0,3,3,0,0,0,7,4,4,50.0,3,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
361,Igor Carioca,BRA,DF,Lorient,Ligue 1,0.0,1996.0,3.0,1,0,0,4,0,0,0,5,2,0,0,0,12,4,1,80.0,3,1,8,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
362,Diego Carlos,BRA,DF,Como,Serie A,0.0,1993.0,3.0,1,0,0,3,0,0,0,1,3,0,0,0,5,6,3,66.7,2,1,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
363,Kevin Carlos,ESP,FW,Nice,Ligue 1,0.0,2001.0,2.8,1,0,0,7,0,0,0,0,0,0,0,0,1,7,7,50.0,9,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
364,David Carmo,ANG,DF,Oviedo,La Liga,0.0,1999.0,4.1,1,0,0,5,0,0,0,5,2,0,0,0,12,15,3,83.3,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
365,Carmona,ESP,"DF,MF",Sevilla,La Liga,0.0,2002.0,6.2,2,0,0,6,0,0,0,4,10,0,0,0,41,10,3,76.9,13,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
366,Marco Carnesecchi,ITA,GK,Atalanta,Serie A,0.0,2000.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,100.0,1,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
367,Sergio Carreira,ESP,"MF,DF",Celta Vigo,La Liga,0.0,2000.0,4.9,0,0,0,1,0,0,0,3,4,0,0,0,14,1,5,16.7,4,0,10,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
368,Álvaro Carreras,ESP,DF,Real Madrid,La Liga,0.0,2003.0,7.9,2,0,0,6,0,0,0,9,0,0,0,0,52,8,13,38.1,12,2,10,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
369,Dani Carvajal,ESP,DF,Real Madrid,La Liga,0.0,1992.0,4.0,0,0,0,4,0,0,0,2,7,0,1,0,14,4,2,66.7,4,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
