rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,tackle_attempts,tackle_pct,tackles_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_plus_interceptions,clearances,errors,touches_def_third,touches_mid_third,touches_att_third,passes_attempted,aerials_lost,passes_blocks,shot_creating_actions_shot,season,table_type,processed_at
584,Anastasios Douvikas,GRE,FW,Como,Serie A,0.0,1999.0,3.2,5,4,0,0,0,0,50.0,0,0,0,0,2,7,2,0,0,4,1,2,1,2,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
585,Artem Dovbyk,UKR,FW,Roma,Serie A,0.0,1997.0,2.0,2,2,0,0,0,0,0.0,0,0,0,2,1,3,1,0,1,0,1,0,0,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
586,Max Dowman,ENG,FW,Arsenal,Premier League,0.0,2009.0,0.3,2,2,0,0,0,0,50.0,0,0,0,1,0,2,0,0,1,1,0,2,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
587,Domingos Duarte,POR,DF,Getafe,La Liga,0.0,1995.0,5.5,4,3,0,0,0,0,50.0,0,0,0,2,8,12,51,0,2,2,0,4,2,3,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
588,Martin Dúbravka,SVK,GK,Burnley,Premier League,0.0,1989.0,7.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
589,Denzel Dumfries,NED,DF,Inter,Serie A,0.0,1996.0,4.3,6,4,0,0,0,0,60.0,0,0,0,2,4,10,4,0,5,1,0,5,2,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
590,Lewis Dunk,ENG,DF,Brighton,Premier League,0.0,1991.0,7.0,8,7,0,0,0,0,71.4,0,0,0,2,5,13,39,0,4,3,1,7,2,5,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
591,Pablo Durán,ESP,"FW,MF",Celta Vigo,La Liga,0.0,2001.0,3.6,4,3,0,0,0,0,33.3,0,0,0,1,0,4,2,0,2,0,2,3,2,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
592,Hugo Duro,ESP,FW,Valencia,La Liga,0.0,1999.0,4.8,4,3,0,0,0,0,16.7,0,0,0,6,0,4,4,0,0,4,0,6,5,6,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
593,Paulo Dybala,ARG,"FW,MF",Roma,Serie A,0.0,1993.0,1.5,1,0,0,0,0,0,0.0,0,0,0,2,0,1,0,0,0,1,0,3,3,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
594,Edin Džeko,BIH,FW,Fiorentina,Serie A,0.0,1986.0,1.0,1,1,0,0,0,0,100.0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
595,Adam Dźwigała,POL,DF,St. Pauli,Bundesliga,0.0,1995.0,3.7,9,8,0,0,0,0,77.8,0,0,0,0,5,14,11,0,4,5,0,9,2,2,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
596,Aron Dønnum,NOR,"MF,FW",Toulouse,Ligue 1,0.0,1998.0,7.0,11,5,0,0,0,0,50.0,0,0,0,3,8,19,6,0,5,4,2,14,7,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
597,Simon Ebonog,CMR,MF,Le Havre,Ligue 1,0.0,2004.0,2.5,6,4,0,0,0,0,100.0,0,0,0,3,1,7,5,0,4,1,1,2,0,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
598,Enzo Ebosse,CMR,DF,Hellas Verona,Serie A,0.0,1999.0,0.6,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
599,Claudio Echeverri,ARG,"MF,FW",Leverkusen,Bundesliga,0.0,2006.0,0.6,1,1,0,0,0,0,0.0,0,0,0,2,0,1,0,0,1,0,0,1,1,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
600,Éderson,BRA,MF,Atalanta,Serie A,0.0,1999.0,1.0,3,2,0,0,0,0,25.0,0,0,0,2,0,3,3,1,1,1,1,4,3,3,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
601,Noah Edjouma,FRA,"FW,MF",Toulouse,Ligue 1,0.0,2005.0,1.9,3,2,0,0,0,0,0.0,0,0,0,0,3,6,5,0,1,2,0,4,4,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
602,Odsonne Édouard,FRA,FW,Crystal Palace,Premier League,0.0,1998.0,0.0,1,1,0,0,0,0,100.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
603,Odsonne Édouard,FRA,FW,Lens,Ligue 1,0.0,1998.0,2.1,1,1,0,0,0,0,25.0,0,0,0,1,0,1,2,0,0,0,1,4,3,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
604,Marcus Edwards,ENG,FW,Burnley,Premier League,0.0,1998.0,0.1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
605,CJ Egan-Riley,ENG,DF,Marseille,Ligue 1,0.0,2003.0,2.3,4,2,0,0,0,0,100.0,0,0,0,1,0,4,9,1,3,0,1,1,0,4,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
606,Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,0.0,1996.0,6.0,13,5,0,0,0,0,85.7,0,0,0,3,8,21,9,2,6,6,1,7,1,6,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
607,Kingsley Ehizibue,NED,DF,Udinese,Serie A,0.0,1995.0,4.1,4,2,0,0,0,0,100.0,0,0,0,3,1,5,20,0,3,1,0,3,0,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
608,Ovie Ejaria,ENG,MF,Oviedo,La Liga,0.0,1997.0,1.1,2,2,0,0,0,0,100.0,0,0,0,0,0,2,2,0,0,2,0,1,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
609,Chidera Ejuke,NGA,"FW,MF",Sevilla,La Liga,0.0,1998.0,2.0,4,3,0,0,0,0,100.0,0,0,0,2,1,5,1,0,2,0,2,1,0,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
610,Hjalmar Ekdal,SWE,DF,Burnley,Premier League,0.0,1998.0,5.9,8,5,0,0,0,0,60.0,0,0,0,4,4,12,42,1,7,1,0,5,2,10,6,2025-2026,stats_defense,2025-10-18 04:36:53.576323
611,Jeff Ekhator,ITA,"FW,DF",Genoa,Serie A,0.0,2006.0,1.6,1,1,0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,1,3,3,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
612,Hugo Ekitike,FRA,FW,Liverpool,Premier League,0.0,2002.0,4.2,4,2,0,0,0,0,50.0,0,0,0,1,1,5,9,0,1,2,1,2,1,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
613,Jurgen Ekkelenkamp,NED,"MF,DF",Udinese,Serie A,0.0,2000.0,1.1,2,2,0,0,0,0,100.0,0,0,0,4,1,3,0,0,0,2,0,1,0,4,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
614,Jacques Ekomie,GAB,DF,Angers,Ligue 1,0.0,2003.0,5.1,20,11,0,0,0,0,76.9,0,0,0,9,7,27,12,1,13,5,2,13,3,11,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
615,Caleb Ekuban,GHA,"FW,MF",Genoa,Serie A,0.0,1994.0,1.4,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
616,Anthony Elanga,SWE,"FW,MF",Newcastle Utd,Premier League,0.0,2002.0,3.7,1,1,0,0,0,0,0.0,0,0,0,1,0,1,5,0,0,1,0,2,2,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
617,Daniel Elfadli,LBY,DF,Hamburger SV,Bundesliga,0.0,1997.0,5.3,8,6,0,0,0,0,75.0,0,0,0,4,8,16,28,0,4,4,0,4,1,8,4,2025-2026,stats_defense,2025-10-18 04:36:53.576323
618,Unai Elgezabal,ESP,DF,Levante,La Liga,0.0,1993.0,6.0,5,2,0,0,0,0,50.0,0,0,0,3,0,5,42,1,3,2,0,4,2,14,11,2025-2026,stats_defense,2025-10-18 04:36:53.576323
619,Mikael Ellertsson,ISL,"FW,DF",Genoa,Serie A,0.0,2002.0,4.8,5,2,0,0,0,0,60.0,0,0,0,7,4,9,8,0,1,4,0,5,2,7,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
620,Harvey Elliott,ENG,"MF,FW",Liverpool,Premier League,0.0,2003.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
621,Harvey Elliott,ENG,"MF,FW",Aston Villa,Premier League,0.0,2003.0,1.1,0,0,0,0,0,0,0.0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
622,Elif Elmas,MKD,MF,Napoli,Serie A,0.0,1999.0,1.1,2,1,0,0,0,0,50.0,0,0,0,2,0,2,2,0,1,0,1,2,1,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
623,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,0.0,1994.0,1.1,3,1,0,0,0,0,42.9,0,0,0,3,0,3,9,0,3,0,0,7,4,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
624,Nico Elvedi,SUI,DF,Gladbach,Bundesliga,0.0,1996.0,6.0,6,4,0,0,0,0,50.0,0,0,0,1,7,13,44,0,4,2,0,2,1,8,7,2025-2026,stats_defense,2025-10-18 04:36:53.576323
625,Breel Embolo,SUI,FW,Rennes,Ligue 1,0.0,1997.0,3.1,2,2,0,0,0,0,0.0,0,0,0,1,2,4,1,0,0,1,1,1,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
626,Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,0.0,2003.0,2.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
627,Emersonn,BRA,FW,Toulouse,Ligue 1,0.0,2004.0,1.1,0,0,0,0,0,0,0.0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
628,Julio Enciso,PAR,MF,Strasbourg,Ligue 1,0.0,2004.0,0.2,0,0,0,0,0,0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
629,Wataru Endo,JPN,"MF,DF",Liverpool,Premier League,0.0,1993.0,0.4,3,1,0,0,0,0,50.0,0,0,0,1,0,3,3,0,0,1,2,2,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
630,Yannik Engelhardt,GER,MF,Gladbach,Bundesliga,0.0,2001.0,3.3,9,3,0,0,0,0,41.7,0,0,0,4,1,10,8,0,4,3,2,12,7,5,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
631,Christian Eriksen,DEN,MF,Wolfsburg,Bundesliga,0.0,1992.0,1.1,2,1,0,0,0,0,40.0,0,0,0,0,1,3,1,0,1,1,0,5,3,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
632,Aarón Escandell,ESP,GK,Oviedo,La Liga,0.0,1995.0,8.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
633,Carlos Espí,ESP,FW,Levante,La Liga,0.0,2005.0,0.3,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
634,Alfonso Espino,URU,"DF,FW",Rayo Vallecano,La Liga,0.0,1992.0,1.2,0,0,0,0,0,0,0.0,0,0,0,2,1,1,2,0,0,0,0,6,6,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
635,Francesco Esposito,ITA,FW,Inter,Serie A,0.0,2005.0,1.7,0,0,0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
636,Sebastiano Esposito,ITA,"FW,MF",Cagliari,Serie A,0.0,2002.0,4.8,11,5,0,0,0,0,46.2,0,0,0,5,3,14,5,0,6,2,3,13,7,6,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
637,Romain Esse,ENG,FW,Crystal Palace,Premier League,0.0,2005.0,0.3,2,1,0,0,0,0,100.0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
638,Samuel Essende,COD,FW,Augsburg,Bundesliga,0.0,1998.0,1.6,1,1,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
639,Marco Esteban,ESP,DF,Oviedo,La Liga,0.0,2006.0,0.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
640,Maxime Estève,FRA,DF,Burnley,Premier League,0.0,2002.0,6.9,7,4,0,0,0,0,44.4,0,0,0,3,9,16,46,1,4,2,1,9,5,11,8,2025-2026,stats_defense,2025-10-18 04:36:53.576323
641,Nahuel Estévez,ARG,MF,Parma,Serie A,0.0,1995.0,0.4,0,0,0,0,0,0,0.0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
642,Pervis Estupiñán,ECU,DF,Milan,Serie A,0.0,1998.0,4.1,3,3,0,0,0,0,28.6,0,0,0,2,5,8,6,1,3,0,0,7,5,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
643,Karl Etta Eyong,CMR,FW,Villarreal,La Liga,0.0,2003.0,2.8,4,2,0,0,0,0,100.0,0,0,0,2,0,4,1,0,1,2,1,2,0,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
644,Karl Etta Eyong,CMR,FW,Levante,La Liga,0.0,2003.0,4.2,7,5,0,0,0,0,80.0,0,0,0,3,2,9,8,0,2,4,1,5,1,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
645,Evanilson,BRA,FW,Bournemouth,Premier League,0.0,1999.0,6.8,1,1,0,0,0,0,25.0,0,0,0,3,0,1,6,0,0,1,0,4,3,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
646,Edu Expósito,ESP,MF,Espanyol,La Liga,0.0,1996.0,5.5,8,6,0,0,0,0,70.0,0,0,0,0,5,13,7,0,3,4,1,10,3,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
647,Eberechi Eze,ENG,"MF,FW",Arsenal,Premier League,0.0,1998.0,3.5,3,3,0,0,0,0,100.0,0,0,0,1,1,4,2,0,1,2,0,1,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
648,Eberechi Eze,ENG,MF,Crystal Palace,Premier League,0.0,1998.0,0.9,1,1,0,0,0,0,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
649,Abde Ezzalzouli,MAR,FW,Betis,La Liga,0.0,2001.0,2.8,7,3,0,0,0,0,75.0,0,0,0,4,1,8,3,0,3,2,2,4,1,4,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
650,Giovanni Fabbian,ITA,MF,Bologna,Serie A,0.0,2003.0,2.8,2,0,0,0,0,0,0.0,0,0,0,1,2,4,0,0,0,1,1,0,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
651,Alieu Fadera,GAM,"FW,MF",Sassuolo,Serie A,0.0,2001.0,1.7,7,4,0,0,0,0,44.4,0,0,0,2,1,8,1,0,3,4,0,9,5,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
652,Nicolò Fagioli,ITA,MF,Fiorentina,Serie A,0.0,2001.0,2.5,3,2,0,0,0,0,50.0,0,0,0,0,1,4,2,0,0,3,0,6,3,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
653,Omar Falah,ESP,"DF,MF",Oviedo,La Liga,0.0,2003.0,0.2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
654,Wladimiro Falcone,ITA,GK,Lecce,Serie A,0.0,1995.0,6.0,1,1,0,0,0,0,100.0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
655,Ansu Fati,ESP,"MF,FW",Monaco,Ligue 1,0.0,2002.0,1.8,4,3,0,0,0,0,50.0,0,0,0,2,0,4,0,0,0,3,1,2,1,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
656,Abdoulaye Faye,SEN,DF,Lorient,Ligue 1,0.0,2004.0,5.4,10,6,0,0,0,0,71.4,0,0,0,3,10,20,28,1,7,3,0,7,2,7,4,2025-2026,stats_defense,2025-10-18 04:36:53.576323
657,Jacopo Fazzini,ITA,MF,Fiorentina,Serie A,0.0,2003.0,3.0,10,4,0,0,0,0,50.0,0,0,0,3,3,13,1,1,2,7,1,6,3,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
658,Aleix Febas,ESP,MF,Elche,La Liga,0.0,1996.0,8.0,16,12,0,0,0,0,64.3,0,0,0,3,5,21,5,0,5,7,4,14,5,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
659,Mattia Felici,ITA,"MF,DF",Cagliari,Serie A,0.0,2001.0,1.4,5,1,0,0,0,0,66.7,0,0,0,0,0,5,0,0,2,3,0,3,1,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
660,Luiz Felipe,ITA,DF,Rayo Vallecano,La Liga,0.0,1997.0,2.4,4,2,0,0,0,0,60.0,0,0,0,1,5,9,7,0,4,0,0,5,2,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
661,Robin Fellhauer,GER,"DF,MF",Augsburg,Bundesliga,0.0,1998.0,4.6,12,10,0,0,0,0,50.0,0,0,0,4,3,15,12,1,8,3,1,12,6,4,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
662,Kiko Femenía,ESP,"DF,FW",Getafe,La Liga,0.0,1991.0,4.2,5,3,0,0,0,0,40.0,0,0,0,7,8,13,10,0,4,1,0,5,3,8,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
663,Evan Ferguson,IRL,FW,Roma,Serie A,0.0,2004.0,3.2,5,2,0,0,0,0,50.0,0,0,0,1,0,5,1,0,0,3,2,2,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
664,Lewis Ferguson,SCO,MF,Bologna,Serie A,0.0,1999.0,2.2,2,2,0,0,0,0,0.0,0,0,0,1,1,3,6,0,0,2,0,4,4,3,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
665,Bruno Fernandes,POR,MF,Manchester Utd,Premier League,0.0,1994.0,7.0,14,7,0,0,0,0,38.1,0,0,0,4,2,16,15,0,6,6,2,21,13,5,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
666,Mateus Fernandes,POR,"MF,FW",West Ham,Premier League,0.0,2004.0,4.4,14,8,0,0,0,0,46.2,0,0,0,5,2,16,3,0,8,6,0,13,7,6,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
667,Enzo Fernández,ARG,MF,Chelsea,Premier League,0.0,2001.0,6.9,14,6,0,0,0,0,50.0,0,0,0,5,4,18,3,0,7,5,2,14,7,6,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
668,Ezequiél Fernández,ARG,MF,Leverkusen,Bundesliga,0.0,2002.0,1.6,5,2,0,0,0,0,33.3,0,0,0,3,3,8,4,0,2,3,0,3,2,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
669,Manu Fernández,ESP,DF,Celta Vigo,La Liga,0.0,2001.0,3.7,6,5,0,0,0,0,100.0,0,0,0,0,2,8,13,1,0,5,1,4,0,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
670,Pedro Fernandez,ESP,MF,Barcelona,La Liga,0.0,2008.0,0.5,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
671,Pelayo Fernandez,ESP,DF,Rayo Vallecano,La Liga,0.0,2003.0,0.5,1,0,0,0,0,0,0.0,0,0,0,0,0,1,3,0,1,0,0,1,1,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
672,Roberto Férnandez,ESP,"FW,MF",Espanyol,La Liga,0.0,2002.0,5.9,3,0,0,0,0,0,66.7,0,0,0,5,0,3,8,0,0,2,1,3,1,5,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
673,Matias Fernandez-Pardo,BEL,FW,Lille,Ligue 1,0.0,2005.0,5.5,4,2,0,0,0,0,33.3,0,0,0,5,1,5,1,0,1,2,1,3,2,5,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
674,Junior Firpo,DOM,DF,Betis,La Liga,0.0,1996.0,3.5,8,5,0,0,0,0,66.7,0,0,0,3,6,14,15,1,3,3,2,6,2,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
675,Jonathan Fischer,DEN,GK,Metz,Ligue 1,0.0,2001.0,7.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
676,Kilian Fischer,GER,DF,Wolfsburg,Bundesliga,0.0,2000.0,6.0,12,8,0,0,0,0,60.0,0,0,0,5,8,20,23,0,6,3,3,10,4,5,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
677,Mark Flekken,NED,GK,Leverkusen,Bundesliga,0.0,1993.0,6.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,3,0,0,0,1,1,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
678,Zian Flemming,NED,"FW,MF",Burnley,Premier League,0.0,1998.0,0.4,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
679,Romano Floriani,ITA,DF,Cremonese,Serie A,0.0,2003.0,1.8,2,1,0,0,0,0,0.0,0,0,0,1,0,2,10,0,2,0,0,0,0,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
680,Phil Foden,ENG,MF,Manchester City,Premier League,0.0,2000.0,3.9,5,4,0,0,0,0,100.0,0,0,0,1,1,6,5,0,4,1,0,3,0,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
681,Malick Fofana,BEL,FW,Lyon,Ligue 1,0.0,2005.0,6.4,6,3,0,0,0,0,60.0,0,0,0,2,3,9,3,0,2,4,0,5,2,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
682,Rayan Fofana,FRA,FW,Lens,Ligue 1,0.0,2006.0,4.2,4,2,0,0,0,0,100.0,0,0,0,6,2,6,4,0,3,0,1,1,0,7,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
683,Seko Fofana,CIV,MF,Rennes,Ligue 1,0.0,1995.0,5.4,2,1,0,0,0,0,66.7,0,0,0,3,2,4,5,0,1,1,0,3,1,4,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
684,Wesley Fofana,FRA,DF,Chelsea,Premier League,0.0,2000.0,1.4,3,2,0,0,0,0,66.7,0,0,0,0,3,6,6,0,1,2,0,3,1,1,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
685,Youssouf Fofana,FRA,MF,Milan,Serie A,0.0,1999.0,5.0,7,3,0,0,0,0,50.0,0,0,0,2,1,8,1,0,2,3,2,6,3,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
686,Jonas Föhrenbach,GER,DF,Heidenheim,Bundesliga,0.0,1996.0,5.6,9,7,0,0,0,0,53.8,0,0,0,5,7,16,20,0,6,2,1,13,6,6,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
687,Michael Folorunsho,ITA,"MF,FW",Cagliari,Serie A,0.0,1998.0,5.7,7,2,0,0,0,0,55.6,0,0,0,2,2,9,7,1,1,6,0,9,4,3,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
688,Álex Forés,ESP,FW,Oviedo,La Liga,0.0,2001.0,1.1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
689,Pablo Fornals,ESP,MF,Betis,La Liga,0.0,1996.0,7.4,9,6,0,0,0,0,26.7,0,0,0,3,11,20,9,0,1,6,2,15,11,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
690,Héctor Fort,ESP,DF,Elche,La Liga,0.0,2006.0,1.0,2,0,0,0,0,0,0.0,0,0,0,1,2,4,4,0,2,0,0,0,0,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
691,Niccolò Fortini,ITA,"MF,DF",Fiorentina,Serie A,0.0,2006.0,0.9,7,2,0,0,0,0,40.0,0,0,0,2,1,8,1,0,5,2,0,5,3,3,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
692,Lyle Foster,RSA,FW,Burnley,Premier League,0.0,2000.0,6.3,5,5,0,0,0,0,0.0,0,0,0,0,0,5,9,0,3,2,0,1,1,2,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
693,Dimitri Foulquier,FRA,DF,Valencia,La Liga,0.0,1993.0,7.0,8,6,0,0,0,0,75.0,0,0,0,2,7,15,23,0,4,3,1,8,2,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
694,Juan Foyth,ARG,DF,Villarreal,La Liga,0.0,1998.0,4.0,8,4,0,0,0,0,87.5,0,0,0,0,5,13,15,0,7,1,0,8,1,3,3,2025-2026,stats_defense,2025-10-18 04:36:53.576323
695,Alejandro Francés,ESP,DF,Girona,La Liga,0.0,2002.0,2.9,3,3,0,0,0,0,66.7,0,0,0,1,2,5,18,0,3,0,0,3,1,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
696,Przemysław Frankowski,POL,DF,Rennes,Ligue 1,0.0,1995.0,3.4,11,7,0,0,0,0,55.6,0,0,0,2,2,13,11,1,6,5,0,9,4,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
697,Davide Frattesi,ITA,"MF,FW",Inter,Serie A,0.0,1999.0,1.6,4,2,0,0,0,0,100.0,0,0,0,1,0,4,3,0,2,2,0,1,0,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
698,Oscar Fraulo,DEN,MF,Gladbach,Bundesliga,0.0,2003.0,0.2,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
699,Morten Frendrup,DEN,MF,Genoa,Serie A,0.0,2001.0,5.8,23,18,0,0,0,0,63.2,0,0,0,7,5,28,10,1,11,12,0,19,7,9,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
700,Martin Frese,DEN,DF,Hellas Verona,Serie A,0.0,1998.0,5.3,19,8,0,0,0,0,63.6,0,0,0,2,6,25,18,0,8,9,2,11,4,3,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
